wavelength_micron,total_depth_ppm,aerosols_depth_ppm,rayleigh_plus_cia_depth_ppm,molecule_H2O_depth_ppm,molecule_CO_depth_ppm,molecule_CO2_depth_ppm,molecule_CH4_depth_ppm,molecule_NH3_depth_ppm
6.500044706082713786e-01,2.766948554117974709e+03,2.763788780425453751e+03,2.545977346154688803e+03,2.588744615786845770e+03,2.322045863971842664e+03,2.322045876319720264e+03,2.322045863941310017e+03,2.334013116948855441e+03
6.506548001894508770e-01,2.766721473674409026e+03,2.763768354487899160e+03,2.545700672869818391e+03,2.591921854692147463e+03,2.322045863958979226e+03,2.322045880155447321e+03,2.322045863941310017e+03,2.332974329871249211e+03
6.513057804254872574e-01,2.767495861959102058e+03,2.763747977574926608e+03,2.545423965680774472e+03,2.592995981164947352e+03,2.322045863949473187e+03,2.322045873925975684e+03,2.322045863941310017e+03,2.333568133672810745e+03
6.519574119673563484e-01,2.771842548962860292e+03,2.763727649683200980e+03,2.545147222737200536e+03,2.633689762602928568e+03,2.322045863949167142e+03,2.322045877846130679e+03,2.322045863941310017e+03,2.331808712899842249e+03
6.526096954666920080e-01,2.767272572945203592e+03,2.763707370808524502e+03,2.544870440543763834e+03,2.600062673622105194e+03,2.322045863950962939e+03,2.322045877135456522e+03,2.322045863941310017e+03,2.332079058541665745e+03
6.532626315757774638e-01,2.766508102354261609e+03,2.763687140945824467e+03,2.544593615218555442e+03,2.584587359723996087e+03,2.322045863947574617e+03,2.322045875544208229e+03,2.322045863941310017e+03,2.330172212740877058e+03
6.539162209475479770e-01,2.766712815371429770e+03,2.763666960089170061e+03,2.544316743076085913e+03,2.584696692326764605e+03,2.322045863946686950e+03,2.322045873661580572e+03,2.322045863941310017e+03,2.331317819070653059e+03
6.545704642355942848e-01,2.767059144537058728e+03,2.763646828231775999e+03,2.544039819765496304e+03,2.581570464117141455e+03,2.322045863946182180e+03,2.322045872906488967e+03,2.322045863941310017e+03,2.329847004345461755e+03
6.552253620941589363e-01,2.767711446249540131e+03,2.763626745365997067e+03,2.543762842093706240e+03,2.582765276754414117e+03,2.322045863945458223e+03,2.322045871665720369e+03,2.322045863941310017e+03,2.330530912762746539e+03
6.558809151781398450e-01,2.767566781529547825e+03,2.763606711483351773e+03,2.543485806025707916e+03,2.597124677999240248e+03,2.322045863944226312e+03,2.322045932840544992e+03,2.322045863941310017e+03,2.329011921978019927e+03
6.565371241430909555e-01,2.768078466794815085e+03,2.763586726574511431e+03,2.543208710159742623e+03,2.604035343074397588e+03,2.322045863946367717e+03,2.322045891764979842e+03,2.322045863941310017e+03,2.329642038678206063e+03
6.571939896452202445e-01,2.767826980886753972e+03,2.763566790629306979e+03,2.542931553829568202e+03,2.610902936984108237e+03,2.322045863945128076e+03,2.322045893207624886e+03,2.322045863941310017e+03,2.328167234589370310e+03
6.578515123413940513e-01,2.766494592301133707e+03,2.763546903636742627e+03,2.542654335455285036e+03,2.597143344141530179e+03,2.322045863943084441e+03,2.322045922475762382e+03,2.322045863941310017e+03,2.328357811645112179e+03
6.585096928891353008e-01,2.767206154467385204e+03,2.763527065584988122e+03,2.542377057788745788e+03,2.591606938779222673e+03,2.322045863945869769e+03,2.322045897516131845e+03,2.322045863941310017e+03,2.327174126563876143e+03
6.591685319466245030e-01,2.765997484428080497e+03,2.763507276461397396e+03,2.542099721465394396e+03,2.581104854289055311e+03,2.322045863944893426e+03,2.322045893505969616e+03,2.322045863941310017e+03,2.327496675790019708e+03
6.598280301727010855e-01,2.766144328099879658e+03,2.763487536252501286e+03,2.541822329528009959e+03,2.581777172339666777e+03,2.322045863943081258e+03,2.322045910176589587e+03,2.322045863941310017e+03,2.327191814188470744e+03
6.604881882268627269e-01,2.765731225610896672e+03,2.763467844944023454e+03,2.541544885195502047e+03,2.570514893216636210e+03,2.322045863943174027e+03,2.322045896550791440e+03,2.322045863941310017e+03,2.326163755860854963e+03
6.611490067692689099e-01,2.765481796926894731e+03,2.763448202520873565e+03,2.541267391695063452e+03,2.584366173541572607e+03,2.322045863942601045e+03,2.322045939772510792e+03,2.322045863941310017e+03,2.326623655982142282e+03
6.618104864607380344e-01,2.764820331315562271e+03,2.763428608967159562e+03,2.540989853365387262e+03,2.567884715069433241e+03,2.322045863942469168e+03,2.322045905815906735e+03,2.322045863941310017e+03,2.325819753933531047e+03
6.624726279627471959e-01,2.764663966685865489e+03,2.763409064266197674e+03,2.540712272465713795e+03,2.564009968164175007e+03,2.322045863942320921e+03,2.322045909652118098e+03,2.322045863941310017e+03,2.325899174043604944e+03
6.631354319374386241e-01,2.765314599381232256e+03,2.763389568400501958e+03,2.540434652149288013e+03,2.581346829665886617e+03,2.322045863942204505e+03,2.322045904243461791e+03,2.322045863941310017e+03,2.325449488737997854e+03
6.637988990476172413e-01,2.764549102666602721e+03,2.763370121351803391e+03,2.540156996249917484e+03,2.570235774174323979e+03,2.322045863942297728e+03,2.322045902193569873e+03,2.322045863941310017e+03,2.325212019535811578e+03
6.644630299567501064e-01,2.764884936150733211e+03,2.763350723101047606e+03,2.539879309254529289e+03,2.567147840225226901e+03,2.322045863941848893e+03,2.322045921039185032e+03,2.322045863941310017e+03,2.325163133642744015e+03
6.651278253289680809e-01,2.764429757384856657e+03,2.763331373628402616e+03,2.539601593260002574e+03,2.564043132797969520e+03,2.322045863942083542e+03,2.322045902753876817e+03,2.322045863941310017e+03,2.324821222203070192e+03
6.657932858290660505e-01,2.764328170035737003e+03,2.763312072913262909e+03,2.539323850601878348e+03,2.557274229802784703e+03,2.322045863942035794e+03,2.322045914219685983e+03,2.322045863941310017e+03,2.324793243885658285e+03
6.664594121225054790e-01,2.764458561656642360e+03,2.763292820934258089e+03,2.539046082847519301e+03,2.561645231992572917e+03,2.322045863941634707e+03,2.322045899179907337e+03,2.322045863941310017e+03,2.324564640971044810e+03
6.671262048754132978e-01,2.764198517520034784e+03,2.763273617669248324e+03,2.538768290272924332e+03,2.553210479862757893e+03,2.322045863941818425e+03,2.322045905229028904e+03,2.322045863941310017e+03,2.324465585164871754e+03
6.677936647545805737e-01,2.764066614306506835e+03,2.763254463095337542e+03,2.538490474118098973e+03,2.543090962318799484e+03,2.322045863942078995e+03,2.322045904465435797e+03,2.322045863941310017e+03,2.324467752679727710e+03
6.684617924274679490e-01,2.764059318924393210e+03,2.763235357188879789e+03,2.538212633934199857e+03,2.540856746060071600e+03,2.322045863941801144e+03,2.322045898082879376e+03,2.322045863941310017e+03,2.324249690265053232e+03
6.691305885622033101e-01,2.764035353101795408e+03,2.763216299925475596e+03,2.537934769497811430e+03,2.554856401324033868e+03,2.322045863941675179e+03,2.322045902336109521e+03,2.322045863941310017e+03,2.324147862856359552e+03
6.698000538275840077e-01,2.763887219646461290e+03,2.763197291279981073e+03,2.537656879800292700e+03,2.534381277004662024e+03,2.322045863941532389e+03,2.322045894066209257e+03,2.322045863941310017e+03,2.324029383517525275e+03
6.704701888930755249e-01,2.763901704199759934e+03,2.763178331226520186e+03,2.537378965378421071e+03,2.534566477907700573e+03,2.322045863941536936e+03,2.322045900116033863e+03,2.322045863941310017e+03,2.323868480790244575e+03
6.711409944288103668e-01,2.763852633821781637e+03,2.763159419738479301e+03,2.537101026160270976e+03,2.540495962810470246e+03,2.322045863941479183e+03,2.322045895665724856e+03,2.322045863941310017e+03,2.323878647085218290e+03
6.718124711055946108e-01,2.763782804773477892e+03,2.763140556788516733e+03,2.536823060327883013e+03,2.525350832525529313e+03,2.322045863941523294e+03,2.322045887277447491e+03,2.322045863941310017e+03,2.323823262327337034e+03
6.724846195949062411e-01,2.763823515677145679e+03,2.763121742348566386e+03,2.536545069215098920e+03,2.534737322629165647e+03,2.322045863941465086e+03,2.322045887966847204e+03,2.322045863941310017e+03,2.323763964627658879e+03
6.731574405688934837e-01,2.763750830709891488e+03,2.763102976389843661e+03,2.536267052745036381e+03,2.528983781253230518e+03,2.322045863941453263e+03,2.322045893856930888e+03,2.322045863941310017e+03,2.323823721881437905e+03
6.738309347003775818e-01,2.763714141565949376e+03,2.763084258882852737e+03,2.535989010558743757e+03,2.520506480392575213e+03,2.322045863941436892e+03,2.322045888404427842e+03,2.322045863941310017e+03,2.323763894715931656e+03
6.745051026628549051e-01,2.763708124747447073e+03,2.763065589797385201e+03,2.535710943242429494e+03,2.531183183285741961e+03,2.322045863941438711e+03,2.322045884414733337e+03,2.322045863941310017e+03,2.323767492639279681e+03
6.751799451304906219e-01,2.763666080655733822e+03,2.763046969102529602e+03,2.535432850936480008e+03,2.516866784221654143e+03,2.322045863941444168e+03,2.322045883518560004e+03,2.322045863941310017e+03,2.323802386872948773e+03
6.758554627781256929e-01,2.763656940044449129e+03,2.763028396766680089e+03,2.535154733142219811e+03,2.517488469025368431e+03,2.322045863941368225e+03,2.322045882892667578e+03,2.322045863941310017e+03,2.323829290804409538e+03
6.765316562812807577e-01,2.763661087676054194e+03,2.763009872757534140e+03,2.534876589512316059e+03,2.522330504296451181e+03,2.322045863941400967e+03,2.322045883966866768e+03,2.322045863941310017e+03,2.323952160394903331e+03
6.772085263161490287e-01,2.763689169353224315e+03,2.762991397042098015e+03,2.534598420217326293e+03,2.519817098510898177e+03,2.322045863941479638e+03,2.322045879365895871e+03,2.322045863941310017e+03,2.324111772748840849e+03
6.778860735595994003e-01,2.763604744217475854e+03,2.762972969586697218e+03,2.534320224333870556e+03,2.521356265188661382e+03,2.322045863941421430e+03,2.322045878132985308e+03,2.322045863941310017e+03,2.324188528572102769e+03
6.785642986891794459e-01,2.763686574581806781e+03,2.762954590356977860e+03,2.534042002185686670e+03,2.526370515531154524e+03,2.322045863941370499e+03,2.322045877351792569e+03,2.322045863941310017e+03,2.324263672090277851e+03
6.792432023831157517e-01,2.763591339500904269e+03,2.762936259317914391e+03,2.533763752744534031e+03,2.517182316935570270e+03,2.322045863941356856e+03,2.322045879601820161e+03,2.322045863941310017e+03,2.324278762519616066e+03
6.799227853203105854e-01,2.763645395993565216e+03,2.762917976433804597e+03,2.533485476065090097e+03,2.529143002024519319e+03,2.322045863941352764e+03,2.322045877018572810e+03,2.322045863941310017e+03,2.324306181466373801e+03
6.806030481803471144e-01,2.763694426971161647e+03,2.762899741668290517e+03,2.533207171351017678e+03,2.525242265997635513e+03,2.322045863941360494e+03,2.322045874298263243e+03,2.322045863941310017e+03,2.324303241923572386e+03
6.812839916434886289e-01,2.763598948460267820e+03,2.762881554984356626e+03,2.532928838472089865e+03,2.522292472972262203e+03,2.322045863941344123e+03,2.322045874528339482e+03,2.322045863941310017e+03,2.324426425465049761e+03
6.819656163906773205e-01,2.763728230291209911e+03,2.762863416344320740e+03,2.532650477084867816e+03,2.536042567933124246e+03,2.322045863941337757e+03,2.322045874789109348e+03,2.322045863941310017e+03,2.324604462413436522e+03
6.826479231035392781e-01,2.763752147197720660e+03,2.762845325709865847e+03,2.532372086708691768e+03,2.524478615965363588e+03,2.322045863941339576e+03,2.322045874776788878e+03,2.322045863941310017e+03,2.324979250912416319e+03
6.833309124643803800e-01,2.763685644037147540e+03,2.762827283042025101e+03,2.532093667362462384e+03,2.517486701467041257e+03,2.322045863941337302e+03,2.322045872711636093e+03,2.322045863941310017e+03,2.325037449193897373e+03
6.840145851561922896e-01,2.763753177683884587e+03,2.762809288301185916e+03,2.531815218759706568e+03,2.517155005141665697e+03,2.322045863941344578e+03,2.322045872078407683e+03,2.322045863941310017e+03,2.324979220019569311e+03
6.846989418626471258e-01,2.763975993124749039e+03,2.762791341447113155e+03,2.531536740602040027e+03,2.522686334048678418e+03,2.322045863941329571e+03,2.322045871752800849e+03,2.322045863941310017e+03,2.324878643045429726e+03
6.853839832680991284e-01,2.763592267552503472e+03,2.762773442438936399e+03,2.531258233214171469e+03,2.499891858499044702e+03,2.322045863941328207e+03,2.322045870449991071e+03,2.322045863941310017e+03,2.324986881336050828e+03
6.860697100575912089e-01,2.763714465041747189e+03,2.762755591235160864e+03,2.530979696337173209e+03,2.512976567113554665e+03,2.322045863941324569e+03,2.322045870701438162e+03,2.322045863941310017e+03,2.325065413409403391e+03
6.867561229168511749e-01,2.764054384588466291e+03,2.762737787793671487e+03,2.530701130343937621e+03,2.527117917530396426e+03,2.322045863941340940e+03,2.322045869202760514e+03,2.322045863941310017e+03,2.325124051266848255e+03
6.874432225322923973e-01,2.763807073353482792e+03,2.762720032071737023e+03,2.530422535270858589e+03,2.523837165656487286e+03,2.322045863941331390e+03,2.322045869554752244e+03,2.322045863941310017e+03,2.325044384136397184e+03
6.881310095910135871e-01,2.763761303692402635e+03,2.762702324026023689e+03,2.530143911256488991e+03,2.522161266494224492e+03,2.322045863941321386e+03,2.322045870017731886e+03,2.322045863941310017e+03,2.325098656466554530e+03
6.888194847808012389e-01,2.763623751021432781e+03,2.762684663612586519e+03,2.529865258612443085e+03,2.523167741326791656e+03,2.322045863941318203e+03,2.322045868710547438e+03,2.322045863941310017e+03,2.325113851245260321e+03
6.895086487901314065e-01,2.763762096215579277e+03,2.762667050786881646e+03,2.529586576957189209e+03,2.539021443932273542e+03,2.322045863993078456e+03,2.322045868782625348e+03,2.322045863941310017e+03,2.325269941223390106e+03
6.901985023081674830e-01,2.764505828064547131e+03,2.762649485503768119e+03,2.529307866759555964e+03,2.563645027523256431e+03,2.322045864826719480e+03,2.322045869109113028e+03,2.322045863941310017e+03,2.325423841785347122e+03
6.908890460247625320e-01,2.764691286776275774e+03,2.762631967717522002e+03,2.529029127853011687e+03,2.569363754362012060e+03,2.322046107994381600e+03,2.322045868350588535e+03,2.322045863941310017e+03,2.325497656333862778e+03
6.915802806304611750e-01,2.766077216626722930e+03,2.762614497381825004e+03,2.528750360661821560e+03,2.599980661331036572e+03,2.322045940571434130e+03,2.322045867525711401e+03,2.322045863941310017e+03,2.325580581171670929e+03
6.922722068164971487e-01,2.770980356351889895e+03,2.762597074449786760e+03,2.528471564797071551e+03,2.674862441719152685e+03,2.322045885017756518e+03,2.322045867674861256e+03,2.322045863941310017e+03,2.325688840199262813e+03
6.929648252747981907e-01,2.769911371335002059e+03,2.762579698873933012e+03,2.528192740705344477e+03,2.636327270924934965e+03,2.322045896998343324e+03,2.322045868433296619e+03,2.322045863941310017e+03,2.325801685724955405e+03
