panel,sweep,level,species,point_index,x,value
a,pressure_melt,surface,H2,0,3.0,-0.19635986933569782
a,pressure_melt,surface,H2,1,3.1667144089270707,-0.16067620066470312
a,pressure_melt,surface,H2,2,3.333428816876389,-0.13775093447833697
a,pressure_melt,surface,H2,3,3.5001432248257074,-0.12499252689034002
a,pressure_melt,surface,H2,4,3.666857633752778,-0.11741722238496699
a,pressure_melt,surface,H2,5,3.8335338487411583,-0.11223411930234306
a,pressure_melt,surface,H2,6,4.166466151258842,-0.11223411930234306
a,pressure_melt,surface,H2,7,4.333180559208159,-0.11741722238496699
a,pressure_melt,surface,H2,8,4.499894967157478,-0.12240097790071047
a,pressure_melt,surface,H2,9,4.666609376084549,-0.13515938548870743
a,pressure_melt,surface,H2,10,4.833285591072929,-0.15569244514895786
a,pressure_melt,surface,H2,11,5.0,-0.19396766791294873
a,pressure_melt,surface,O2,0,3.0,-8.037796780438097
a,pressure_melt,surface,O2,1,3.1667144089270707,-8.22398979627879
a,pressure_melt,surface,O2,2,3.333428816876389,-8.417957459088374
a,pressure_melt,surface,O2,3,3.5001432248257074,-8.624683529485957
a,pressure_melt,surface,O2,4,3.666857633752778,-8.851743317080272
a,pressure_melt,surface,O2,5,3.8335338487411583,-9.104319919850582
a,pressure_melt,surface,O2,6,4.000248257668229,-9.400354843364141
a,pressure_melt,surface,O2,7,4.166466151258842,-9.750014951322685
a,pressure_melt,surface,O2,8,4.262790030712046,-10.0
a,pressure_melt,surface,H2O,0,3.0,-1.3446165522554274
a,pressure_melt,surface,H2O,1,3.1667144089270707,-1.3063413294914348
a,pressure_melt,surface,H2O,2,3.333428816876389,-1.2784323128926918
a,pressure_melt,surface,H2O,3,3.5001432248257074,-1.2578992532324413
a,pressure_melt,surface,H2O,4,3.666857633752778,-1.240157090128701
a,pressure_melt,surface,H2O,5,3.8335338487411583,-1.2248071284477113
a,pressure_melt,surface,H2O,6,4.000248257668229,-1.209457171870083
a,pressure_melt,surface,H2O,7,4.166466151258842,-1.196698764282086
a,pressure_melt,surface,H2O,8,4.333180559208159,-1.1813488077044596
a,pressure_melt,surface,H2O,9,4.499894967157478,-1.1685904001164609
a,pressure_melt,surface,H2O,10,4.666609376084549,-1.1610150905077266
a,pressure_melt,surface,H2O,11,4.833285591072929,-1.1636066446007192
a,pressure_melt,surface,H2O,12,5.0,-1.189123459776713
a,pressure_melt,surface,CO,0,3.0,-0.7144708249278313
a,pressure_melt,surface,CO,1,3.1667144089270707,-0.9058469387477857
a,pressure_melt,surface,CO,2,3.333428816876389,-1.1073899111661074
a,pressure_melt,surface,CO,3,3.5001432248257074,-1.326874389151687
a,pressure_melt,surface,CO,4,3.666857633752778,-1.5692841333236291
a,pressure_melt,surface,CO,5,3.8335338487411583,-1.849969100259564
a,pressure_melt,surface,CO,6,4.000248257668229,-2.1790961485578535
a,pressure_melt,surface,CO,7,4.166466151258842,-2.582182088291133
a,pressure_melt,surface,CO,8,4.333180559208159,-3.0797599842230152
a,pressure_melt,surface,CO,9,4.499894967157478,-3.7126966081071213
a,pressure_melt,surface,CO,10,4.666609376084549,-4.521460041666673
a,pressure_melt,surface,CO,11,4.833285591072929,-5.572832566965049
a,pressure_melt,surface,CO,12,5.0,-6.943165281963349
