reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,species,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,log10_mixing_ratio,mixing_ratio
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,0,56.407892,317.110246,5.182770836869124,152324.87726607325,-4.385921487610454,4.1122405606946024e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,1,56.508277,317.056468,5.178455862920346,150818.93264028593,-4.396387427603678,4.01432539111648e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,2,56.608663,316.999105,5.174140845987319,149327.86160533357,-4.407551058007022,3.912451275307215e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,3,56.712634,316.941742,5.169671730517594,147799.07992810366,-4.418714688410368,3.813162484418254e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,4,56.913405,316.827016,5.16104173963579,144891.11003416663,-4.441041949217047,3.622080104605372e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,5,57.01379,316.766067,5.156726765687012,143458.6586027489,-4.452903464644297,3.524492050523667e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,6,57.117761,316.705119,5.152257650217287,141989.96437278966,-4.464764785457764,3.429534803748069e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,7,57.318532,316.583222,5.143627659335483,139196.28973125524,-4.488487621698493,3.247224973065702e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,8,57.422502,316.522274,5.139158586850008,137771.2462144392,-4.50034894251196,3.1597378859385035e-05
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,gas_mixing_ratio,CH3,0,non_convective,9,57.623273,316.393207,5.130528595968203,135060.57550906873,-4.525467159572921,2.9821730449966983e-05
