reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,temperature_k
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,0,56.407892,124.033116,5.182770836869124,152324.87726607325,4000.0
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,1,56.508277,123.441558,5.178455862920346,150818.93264028593,3979.682281036306
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,2,56.608663,122.853586,5.174140845987319,149327.86160533357,3959.4877272401923
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,3,56.712634,122.265614,5.169671730517594,147799.07992810366,3939.2931734440785
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,4,56.813019,121.677642,5.1653567565688165,146337.87914390574,3919.0986196479657
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,5,57.01379,120.508868,5.156726765687012,143458.6586027489,3878.9557736986703
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,6,57.117761,119.924481,5.152257650217287,141989.96437278966,3858.884350724023
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,7,57.318532,118.762878,5.143627659335483,139196.28973125524,3818.987800763775
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,8,57.422502,118.182076,5.139158586850008,137771.2462144392,3799.0395086105937
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,9,57.522888,117.601275,5.13484356991698,136409.17110169725,3779.0912508035276
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,10,57.623273,117.024058,5.130528595968203,135060.57550906873,3759.266089471812
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,0,non_convective,11,57.727244,116.443256,5.126059480498478,133677.85877466522,3739.317797318631
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,0,57.82763,115.86604,5.1217444635654505,132356.25292754816,3719.49267033303
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,1,57.928015,115.561298,5.117429489616673,131047.72610407056,3709.02596662446
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,2,58.031986,115.256557,5.112960374146948,129706.09192839313,3698.5592972620057
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,3,58.232757,114.647073,5.104330383265144,127154.10438847424,3677.625889844866
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,4,58.336727,114.345917,5.099861310779669,125852.34460417838,3667.282351303877
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,5,58.537498,113.743604,5.091231319897864,123376.18014247532,3646.595239875784
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,1,convective,6,58.641469,113.446033,5.0867622044281395,122113.08535506764,3636.374832156261
